==11544== NVPROF is profiling process 11544, command: ./inverse_bench tests/simpleMean/large_5_64_64.mats
==11544== Profiling application: ./inverse_bench tests/simpleMean/large_5_64_64.mats
==11544== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream          ID   Parent ID         Parent Block  Name
702.22ms  9.4720us              (9 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -280          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
702.23ms  13.888us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -281          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
702.29ms  8.2240us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -282          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
702.32ms  6.8480us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -283          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
702.34ms  42.113us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -284          16              (0 0 0)  transform_matrix(float*, float*, int, int)
702.39ms  9.4400us              (8 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -285          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
702.40ms  12.544us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -286          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
702.46ms  8.4800us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -287          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
702.49ms  6.7840us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -288          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
702.51ms  43.361us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -289          16              (0 0 0)  transform_matrix(float*, float*, int, int)
702.56ms  9.5040us              (7 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -290          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
702.57ms  13.857us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -291          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
702.63ms  6.8170us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -292          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
702.65ms  8.2560us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -293          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
702.68ms  41.921us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -294          16              (0 0 0)  transform_matrix(float*, float*, int, int)
702.73ms  9.3760us              (6 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -295          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
702.74ms  12.577us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -296          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
702.80ms  8.3210us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -297          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
702.82ms  6.8480us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -298          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
702.85ms  43.681us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -299          16              (0 0 0)  transform_matrix(float*, float*, int, int)
702.90ms  9.5360us              (5 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -300          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
702.91ms  13.857us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -301          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
702.97ms  6.8160us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -302          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
702.99ms  8.2880us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -303          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
703.02ms  42.273us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -304          16              (0 0 0)  transform_matrix(float*, float*, int, int)
703.07ms  9.5040us              (4 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -305          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
703.08ms  12.321us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -306          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
703.14ms  8.2240us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -307          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
703.16ms  6.8160us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -308          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
703.19ms  44.097us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -309          16              (0 0 0)  transform_matrix(float*, float*, int, int)
703.24ms  9.7280us              (3 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -310          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
703.25ms  13.601us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -311          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
703.32ms  8.7690us              (1 1 1)       (384 1 1)        18        0B      256B         -           -  GeForce GTX TIT         1         0        -312          16              (0 0 0)  void swap_kernel<float, int=0>(cublasSwapParams<float>)
703.35ms  8.1280us              (1 1 1)       (384 1 1)        18        0B      256B         -           -  GeForce GTX TIT         1         0        -313          16              (0 0 0)  void swap_kernel<float, int=0>(cublasSwapParams<float>)
703.38ms  6.8480us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -314          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
703.40ms  8.3520us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -315          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
703.43ms  42.145us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -316          16              (0 0 0)  transform_matrix(float*, float*, int, int)
703.48ms  9.5680us              (2 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -317          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
703.49ms  12.320us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -318          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
703.55ms  8.1610us              (1 1 1)       (384 1 1)        18        0B      256B         -           -  GeForce GTX TIT         1         0        -319          16              (0 0 0)  void swap_kernel<float, int=0>(cublasSwapParams<float>)
703.58ms  7.5200us              (1 1 1)       (384 1 1)        18        0B      256B         -           -  GeForce GTX TIT         1         0        -320          16              (0 0 0)  void swap_kernel<float, int=0>(cublasSwapParams<float>)
703.60ms  8.3210us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -321          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
703.63ms  6.7840us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -322          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
703.65ms  43.297us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -323          16              (0 0 0)  transform_matrix(float*, float*, int, int)
703.70ms  9.7600us              (1 1 1)       (256 1 1)        14  2.1800KB      124B         -           -  GeForce GTX TIT         1         0        -324          16              (0 0 0)  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>)
703.75ms  8.2880us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -325          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
703.78ms  6.9120us              (1 1 1)       (256 1 1)         8        0B      256B         -           -  GeForce GTX TIT         1         0        -326          16              (0 0 0)  void scal_kernel_val<float, float, int=0>(cublasScalParamsVal<float, float>)
703.81ms  42.881us              (1 1 1)        (64 1 1)        18      768B        0B         -           -  GeForce GTX TIT         1         0        -327          16              (0 0 0)  transform_matrix(float*, float*, int, int)
703.88ms  7.0720us                    -               -         -         -         -  16.384KB  2.3167GB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
704.76ms  4.8960us                    -               -         -         -         -  16.384KB  3.3464GB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy HtoD]
704.78ms  3.2640us                    -               -         -         -         -  16.384KB  5.0196GB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy HtoD]
704.87ms  7.2000us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        13          17           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [597]
704.89ms  2.2080us                    -               -         -         -         -        4B  1.8116MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
704.98ms  9.2810us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          18           -                    -  normalizeRow(float**, float**, int, int) [607]
705.04ms  139.97us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          19           -                    -  transform_matrix(float**, float**, int, int, int) [614]
705.18ms  6.3040us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        14          20           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [621]
705.19ms  2.0480us                    -               -         -         -         -        4B  1.9531MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
705.28ms  8.5760us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          21           -                    -  normalizeRow(float**, float**, int, int) [631]
705.33ms  139.71us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          22           -                    -  transform_matrix(float**, float**, int, int, int) [638]
705.47ms  6.2080us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        15          23           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [645]
705.48ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
705.57ms  8.5440us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          24           -                    -  normalizeRow(float**, float**, int, int) [655]
705.62ms  139.36us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          25           -                    -  transform_matrix(float**, float**, int, int, int) [662]
705.76ms  6.0480us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        16          26           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [669]
705.77ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
705.84ms  8.6090us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          27           -                    -  normalizeRow(float**, float**, int, int) [679]
705.91ms  156.51us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          28           -                    -  transform_matrix(float**, float**, int, int, int) [686]
706.07ms  6.1450us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        17          29           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [693]
706.08ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
706.15ms  8.6080us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          30           -                    -  normalizeRow(float**, float**, int, int) [703]
706.21ms  140.45us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          31           -                    -  transform_matrix(float**, float**, int, int, int) [710]
706.36ms  6.1770us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        18          32           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [717]
706.37ms  1.8880us                    -               -         -         -         -        4B  2.1186MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
706.44ms  8.6080us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          33           -                    -  normalizeRow(float**, float**, int, int) [727]
706.49ms  139.68us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          34           -                    -  transform_matrix(float**, float**, int, int, int) [734]
706.64ms  6.1120us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        19          35           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [741]
706.64ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
706.72ms  8.5760us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          36           -                    -  normalizeRow(float**, float**, int, int) [751]
706.77ms  139.78us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          37           -                    -  transform_matrix(float**, float**, int, int, int) [758]
706.92ms  6.1440us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        20          38           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [765]
706.93ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
707.01ms  8.5760us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          39           -                    -  normalizeRow(float**, float**, int, int) [775]
707.08ms  140.10us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          40           -                    -  transform_matrix(float**, float**, int, int, int) [782]
707.22ms  6.1450us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        21          41           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [789]
707.23ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
707.30ms  8.5760us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          42           -                    -  normalizeRow(float**, float**, int, int) [799]
707.36ms  139.46us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          43           -                    -  transform_matrix(float**, float**, int, int, int) [806]
707.50ms  6.2410us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        22          44           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [813]
707.51ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
707.58ms  8.5440us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          45           -                    -  normalizeRow(float**, float**, int, int) [823]
707.64ms  139.97us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          46           -                    -  transform_matrix(float**, float**, int, int, int) [830]
707.78ms  6.2080us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        23          47           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [837]
707.79ms  1.8570us                    -               -         -         -         -        4B  2.1540MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
707.86ms  8.6080us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          48           -                    -  normalizeRow(float**, float**, int, int) [847]
707.92ms  139.33us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          49           -                    -  transform_matrix(float**, float**, int, int, int) [854]
708.06ms  6.2080us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        24          50           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [861]
708.07ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
708.17ms  8.6080us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          51           -                    -  normalizeRow(float**, float**, int, int) [871]
708.24ms  148.10us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          52           -                    -  transform_matrix(float**, float**, int, int, int) [878]
708.39ms  6.1760us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        25          53           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [885]
708.40ms  1.8880us                    -               -         -         -         -        4B  2.1186MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
708.47ms  8.6080us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          54           -                    -  normalizeRow(float**, float**, int, int) [895]
708.53ms  139.52us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          55           -                    -  transform_matrix(float**, float**, int, int, int) [902]
708.68ms  6.2720us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        26          56           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [909]
708.69ms  1.8880us                    -               -         -         -         -        4B  2.1186MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
708.76ms  8.6080us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          57           -                    -  normalizeRow(float**, float**, int, int) [919]
708.82ms  139.91us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          58           -                    -  transform_matrix(float**, float**, int, int, int) [926]
708.97ms  6.3040us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        27          59           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [933]
708.98ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
709.05ms  8.5450us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          60           -                    -  normalizeRow(float**, float**, int, int) [943]
709.10ms  139.49us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          61           -                    -  transform_matrix(float**, float**, int, int, int) [950]
709.25ms  6.1760us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        28          62           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [957]
709.26ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
709.33ms  8.5450us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          63           -                    -  normalizeRow(float**, float**, int, int) [967]
709.39ms  139.78us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          64           -                    -  transform_matrix(float**, float**, int, int, int) [974]
709.54ms  6.1440us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        29          65           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [981]
709.54ms  1.8240us                    -               -         -         -         -        4B  2.1930MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
709.63ms  17.025us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          66           -                    -  normalizeRow(float**, float**, int, int) [991]
709.69ms  139.62us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          67           -                    -  transform_matrix(float**, float**, int, int, int) [998]
709.84ms  6.1760us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        30          68           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [1005]
709.85ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
709.92ms  8.5120us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          69           -                    -  normalizeRow(float**, float**, int, int) [1015]
709.97ms  139.59us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          70           -                    -  transform_matrix(float**, float**, int, int, int) [1022]
710.12ms  6.2720us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        31          71           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [1029]
710.13ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
710.21ms  8.6080us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          72           -                    -  normalizeRow(float**, float**, int, int) [1039]
710.26ms  139.40us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          73           -                    -  transform_matrix(float**, float**, int, int, int) [1046]
710.40ms  6.1440us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        32          74           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [1053]
710.41ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
710.48ms  8.5130us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          75           -                    -  normalizeRow(float**, float**, int, int) [1063]
710.54ms  139.17us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          76           -                    -  transform_matrix(float**, float**, int, int, int) [1070]
710.68ms  6.1760us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        33          77           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [1077]
710.69ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
710.76ms  8.6080us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          78           -                    -  normalizeRow(float**, float**, int, int) [1087]
710.81ms  139.62us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          79           -                    -  transform_matrix(float**, float**, int, int, int) [1094]
710.96ms  6.1120us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        34          80           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [1101]
710.97ms  1.8880us                    -               -         -         -         -        4B  2.1186MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
711.04ms  8.5760us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          81           -                    -  normalizeRow(float**, float**, int, int) [1111]
711.09ms  139.62us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          82           -                    -  transform_matrix(float**, float**, int, int, int) [1118]
711.24ms  6.0800us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        35          83           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [1125]
711.25ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
711.32ms  8.5440us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          84           -                    -  normalizeRow(float**, float**, int, int) [1135]
711.37ms  139.36us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          85           -                    -  transform_matrix(float**, float**, int, int, int) [1142]
711.52ms  6.3050us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        36          86           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [1149]
711.53ms  2.0480us                    -               -         -         -         -        4B  1.9531MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
711.60ms  8.5440us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          87           -                    -  normalizeRow(float**, float**, int, int) [1159]
711.65ms  139.81us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          88           -                    -  transform_matrix(float**, float**, int, int, int) [1166]
711.80ms  6.4000us              (1 1 1)       (256 1 1)        14  2.0480KB        0B         -           -  GeForce GTX TIT         1        37          89           -                    -  void iamax_kernel<float, float, int=256, int=0>(cublasIamaxParams<float, float>) [1173]
711.81ms  1.8560us                    -               -         -         -         -        4B  2.1552MB/s  GeForce GTX TIT         1         7           -           -                    -  [CUDA memcpy DtoH]
711.88ms  8.5760us              (1 1 1)        (64 1 1)        20        4B        0B         -           -  GeForce GTX TIT         1         7          90           -                    -  normalizeRow(float**, float**, int, int) [1183]
711.93ms  139.75us              (1 1 1)        (64 1 1)        20      768B      192B         -           -  GeForce GTX TIT         1         7          91           -                    -  transform_matrix(float**, float**, int, int, int) [1190]
